locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
629896,John's Catering #5,Truck,10955000,REDWOOD ST: POLK ST to VAN NESS AVE (100 - 199),180 REDWOOD ST,766013,766,13,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:9AM-10AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7808315906918, -122.419942864672"
629897,John's Catering #5,Truck,9506000,NATOMA ST: FREMONT ST to 01ST ST (1 - 19),400 HOWARD ST,3720008,3720,8,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:6AM-7AM/10AM-11AM/12PM-1PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7891192214396, -122.395881039325"
629898,John's Catering #5,Truck,581000,14TH ST: SHOTWELL ST to SOUTH VAN NESS AVE (139 - 199),164 14TH ST,3530048,3530,48,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:10AM-11AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7687652647502, -122.416902205943"
629899,John's Catering #5,Truck,8756101,MARKET ST: 12TH ST \ PAGE ST to FRANKLIN ST (1591 - 1615) -- SOUTH --,1601 MARKET ST,3505001,3505,1,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:10AM-11AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7739150794665, -122.420026291494"
629900,John's Catering #5,Truck,0,,50 IVY ST,811001,811,1,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:11AM-12PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7781283935163, -122.418652129987"
629901,John's Catering #5,Truck,12726000,TURK ST: GOUGH ST to LAGUNA ST (900 - 1099),1003 TURK ST,759001,759,1,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:8AM-9AM/11AM-12PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.780868450348, -122.425467726608"
629902,John's Catering #5,Truck,8845101,MASONIC AVE: EWING TER to TURK BLVD (200 - 298) -- EAST --,270 MASONIC AVE,1111002,1111,2,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:11AM-12PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7789186036752, -122.446748796805"
629903,John's Catering #5,Truck,6834000,HAYES ST: SHRADER ST to STANYAN ST (2200 - 2299),2200 HAYES ST,1191039,1191,39,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:11AM-2PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,
629904,John's Catering #5,Truck,3309000,BRYANT ST: 19TH ST to 20TH ST (2100 - 2199),2157 BRYANT ST,4080065,4080,65,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:12PM-1PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.759796285523, -122.409573421614"
629905,John's Catering #5,Truck,7031000,HOWARD ST: BEALE ST to FREMONT ST (300 - 399),300 HOWARD ST,3719009,3719,9,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:6AM-7AM/12PM-1PM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7895693276681, -122.395129390511"
